collection,species,occurrences
Aquadesk,meunieri,315
Aquadesk,tyrrhena,315
Aquadesk,vernalis,313
Aquadesk,agardhii,311
Aquadesk,concharum,311
Aquadesk,kroyeri,305
Aquadesk,cylindrica,303
Aquadesk,corallina,303
Aquadesk,merlangus,302
Aquadesk,robusta,302
Aquadesk,rostrata,302
Aquadesk,deformis,301
Aquadesk,pygmaea,301
Aquadesk,istri,301
Aquadesk,polymorphus,296
Aquadesk,granii,295
WMR,filiformis,294
Aquadesk,moitessierianum,293
Aquadesk,hebetata,290
Aquadesk,squamosum,289
Aquadesk,turris,289
Aquadesk,pyriforme,288
Aquadesk,longosetosa,286
Aquadesk,modestus,284
Aquadesk,aureus,283
Aquadesk,claparedianus,280
Aquadesk,goniocephala,278
Aquadesk,distans,277
Aquadesk,quadridentatum,276
Aquadesk,acutifrons,274
Aquadesk,pseudolunula,274
Aquadesk,truncata,273
Aquadesk,curvispinum,267
VIS,scombrus,267
Aquadesk,decoratus,266
Aquadesk,mikimotoi,265
Aquadesk,lorenzianus,262
Aquadesk,darbouxi,259
Aquadesk,unicornis,259
Aquadesk,rouxi,259
Aquadesk,unipunctata,258
Aquadesk,albifrons,257
Aquadesk,norvegicus,253
Aquadesk,glabra,253
Aquadesk,bahusiensis,249
Aquadesk,chiajei,249
Aquadesk,mucicola,248
Aquadesk,depressum,248
Aquadesk,marginatus,244
Aquadesk,harrisii,243
Aquadesk,stellata,239
Aquadesk,hystrix,238
Aquadesk,enigmaticus,238
Aquadesk,lanceolata,238
Aquadesk,haemobaphes,238
Aquadesk,troglodytes,238
Aquadesk,pseudocurvisetus,238
Aquadesk,contortum,238
VIS,vulgaris,236
Aquadesk,levanderi,234
Aquadesk,formosa,234
Aquadesk,challengeri,233
Aquadesk,groenlandica,233
Aquadesk,arenarius,232
Aquadesk,bispinosa,231
Aquadesk,lilljeborgi,228
Aquadesk,ovatum,227
Aquadesk,ovata,227
Aquadesk,opercularis,227
Aquadesk,petiolatus,227
Aquadesk,mutica,227
Aquadesk,parva,225
VIS,lavaretus,224
WMR,miliaris,220
Aquadesk,contortus,219
Aquadesk,limnicola,219
Aquadesk,leonis,219
Aquadesk,claudicans,219
Aquadesk,procera,218
VIS,virens,216
Aquadesk,meneghiniana,213
Aquadesk,norvegica,212
Aquadesk,improvisus,212
Aquadesk,pisum,212
Aquadesk,niei,210
Aquadesk,fluviatilis,209
Aquadesk,kervillei,209
WMR,limatula,205
Aquadesk,varians,202
Aquadesk,thorianum,202
Aquadesk,simonsenii,201
Aquadesk,horologicalis,198
Aquadesk,lauderi,198
Aquadesk,digitale,196
